1,19,18,1,24,1339,494,672,1209,17,59,0,0,40
2,504,582,670,378,62,51,55,57,0,19,0,0,56
3,33,33,3,23,80,29,0,87,461,484,479,549,544
4,0,0,0,10,672,650,670,394,0,0,68,5,35
5,0,0,0,0,0,0,0,0,1072,1064,1058,1048,555
6,0,0,0,33,52,47,0,58,1155,880,1171,327,874
7,877,687,497,1037,18,2,0,34,0,0,0,0,16
8,0,0,0,0,44,16,0,59,832,704,892,551,490
9,0,0,0,0,599,1049,601,407,0,64,0,0,97
10,0,0,0,4,809,905,1050,1245,1,89,0,0,78
11,409,1223,1037,1263,63,30,0,48,0,2,0,0,47
12,103,103,0,13,594,1072,623,635,0,0,100,0,0
13,0,0,0,0,958,1195,430,640,3,0,0,7,52
14,-1,0,0,0,854,408,964,1020,1,0,0,0,8
15,0,0,0,35,52,0,0,53,814,511,501,848,1058
16,2,0,0,0,483,1329,1117,1112,0,64,6,45,103
17,0,0,0,5,1235,392,572,442,0,0,0,0,68
18,0,0,3,0,0,0,0,0,472,1039,463,1307,676
19,58,58,0,63,344,705,1057,1366,66,0,0,0,3
20,454,1112,779,543,8,0,2,49,39,2,0,0,9
21,-1,0,0,0,454,399,412,1155,0,14,0,0,67
22,908,1025,1153,1203,114,17,0,53,0,0,0,0,53
23,1098,1099,1101,1101,20,0,0,8,0,0,0,61,4
24,0,0,1,0,47,0,17,48,1018,1101,948,362,420
25,396,905,413,801,55,0,0,38,0,0,0,11,0
26,765,1258,749,745,102,31,27,101,37,3,0,0,101
27,0,-1,0,9,67,8,3,50,780,334,510,483,1123
28,830,854,878,894,34,4,0,45,0,0,0,0,45
29,0,-1,0,0,1074,328,668,951,0,0,0,0,2
30,53,52,0,0,797,451,1173,724,4,5,0,1,67
31,20,20,14,26,97,0,0,101,1227,937,969,361,584
32,19,19,0,0,644,570,530,873,2,6,21,1,33
33,581,1205,829,940,124,6,0,164,71,161,0,0,117
34,5,10,0,55,148,29,126,154,1418,999,990,343,593
35,442,443,447,778,1,0,0,28,0,17,6,2,18
36,1049,890,674,577,72,0,0,70,0,0,0,0,56
37,359,1091,822,447,1,58,0,138,0,41,0,119,111
