E50E04004EE,21-25岁,男,A卡类型,PF公司,2010-02-28 00:00:00,10,0.15,1.6,2.2,2.2,2.2,2.6,2.2,0.2,2.4,9,15.75,78,0.15
E50E04005B4,16-20岁,男,A卡类型,ZF公司,2010-02-28 00:00:00,10,0.15,2.4,2.2,4.38,3,0.2,2.2,2.2,2.4,9,19.13,82,2.33
E50E04006EE,26-35岁,男,A卡类型,ZF公司,2010-02-28 00:00:00,10,0,2.95,2.35,4.39,2,2.2,0.2,0.4,2.2,8,16.69,63,4.49
E50E040074E,21-25岁,男,A卡类型,PF公司,2010-02-28 00:00:00,10,0.15,2.2,2,4.58,2.2,2.2,2.4,2.2,2.4,9,20.33,75,4.53
E50E0400755,46-55岁,男,A卡类型,ZF公司,2010-02-28 00:00:00,10,0.15,2.6,2.2,2.2,2.2,2.2,2.6,0.2,2.4,9,16.75,81,0.15
E50E0400774,21-25岁,男,A卡类型,PF公司,2010-02-28 00:00:00,10,0.15,2.4,2.2,2.4,2.4,0.2,2.6,0.2,2.4,9,14.95,79,0.15
E50E0400B4E,26-35岁,男,A卡类型,ZF公司,2010-02-28 00:00:00,10,0.3,2.8,2.2,2,1.8,0.2,2.4,0.2,2.4,9,14.3,72,0.3
E50E0400C74,21-25岁,男,A卡类型,ZF公司,2010-02-28 00:00:00,10,0.15,2.2,2.2,2.2,2.2,0.2,2.2,0.6,2.2,9,14.15,73,0.15
E50E0400CC8,16-20岁,女,A卡类型,ZF公司,2010-02-28 00:00:00,10,0,2.35,2.4,4.34,2,2.2,0.2,0.6,2.4,8,16.49,62,4.29
E50E0404047,16-20岁,男,A卡类型,ZF公司,2010-02-25 00:00:00,10,0.15,2.5,2.2,2.2,2.4,2.2,4.4,2.2,2.2,9,20.45,82,2.45
E50E04044C0,26-35岁,女,A卡类型,ZF公司,2010-02-25 00:00:00,10,0.15,2.35,2.2,2.4,2.2,2.2,4.6,2.4,2.4,9,20.9,84,2.3
E50E0405474,拒答,女,A卡类型,ZF公司,2010-02-25 00:00:00,10,0.15,2.35,2.2,2.2,2.4,2.2,4.6,2.2,2.2,9,20.5,82,2.3
E50E040C984,26-35岁,男,A卡类型,ZF公司,2010-02-25 00:00:00,10,0.15,2.35,2.35,2.4,2.2,2.2,4.6,2.2,2.2,9,20.65,85,2.45
E50E047C5C6,46-55岁,男,A卡类型,NF公司,2009-11-14 00:00:00,13,0,2.55,2.15,0,2.4,4,2.2,0.8,2,7,16.1,63,2.3
